ID,MSZoning,Street,Alley,LotArea,LotShape,LandContour,Utilities,LandSlope,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,CentralAir,Electrical,1stFlrSF,2ndFlrSF,TotFlrSF,LowQualFinSF,GrLivArea,Bath,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,Fence,MiscFeature,MiscVal,DaSold,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1036,RH,Pave,Grvl,65,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,7,9,2011,2011,Mansard,Cly,AsphShn,BrkComm,Gd,Gd,Stone,N,SBrkr,65,0,65,0,63,1,2,1,Po,3,Typ,Attchd,Fin,1,10,Gd,Gd,MnWw,NA,0,11,7,2014,CWD,Normal,300000000
1037,RH,Pave,Grvl,60,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,9,8,2013,2013,Mansard,Cly,AsphShn,BrkComm,Gd,Gd,Stone,N,SBrkr,60,0,60,0,58,1,2,1,Ex,3,Min1,Attchd,Fin,1,10,Gd,Gd,MnWw,NA,0,25,5,2017,CWD,Normal,475000000
1038,RM,Pave,Grvl,45,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,9,7,2008,2008,Gable,Cly,AsphShn,Wd,Gd,Gd,Stone,N,SBrkr,45,0,45,0,43,1,1,1,Ex,2,Min1,Attchd,RFn,1,5,Ex,Gd,MnWw,NA,0,22,4,2010,CWD,Normal,200000000
1039,RM,Grvl,Grvl,55,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,9,8,2001,2001,Gable,Cly,AsphShn,Wd,Gd,Gd,Stone,N,SBrkr,55,0,55,0,53,1,1,1,Ex,2,Typ,Attchd,Fin,1,5,Ex,Gd,MnWw,NA,0,31,7,2002,VWD,Normal,150000000
1040,RM,Grvl,Grvl,75,Reg,Lvl,NoSewa,Gtl,JKT,Feedr,Norm,1,10,10,2004,2004,Gable,Cly,AsphShn,Wd,Gd,Gd,Stone,N,SBrkr,75,0,75,0,73,1,2,1,Ex,3,Typ,Attchd,Fin,1,10,Ex,Gd,MnWw,NA,0,4,2,2004,New,Abnorml,175000000
1041,RM,Pave,Pave,77,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,10,8,2014,2014,Gable,Cly,AsphShn,Wd,Gd,Gd,BrkTil,N,SBrkr,77,0,77,0,75,1,3,1,TA,4,Typ,Attchd,Fin,1,10,Ex,Gd,MnWw,NA,0,4,3,2016,VWD,Abnorml,400000000
1042,RH,Pave,Pave,50,Reg,Lvl,NoSewr,Gtl,JKT,Feedr,Norm,1,2,4,1995,1995,Gable,Metal,AsphShn,Wd,Gd,Gd,BrkTil,Y,SBrkr,50,0,50,0,48,1,2,1,TA,3,Maj1,Attchd,Fin,1,5,Ex,Ex,MnWw,NA,0,17,3,2016,VWD,Normal,350000000
1043,RH,Grvl,Grvl,45,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,2,1,2017,2017,Mansard,Metal,AsphShn,Plywood,Po,Po,BrkTil,N,SBrkr,45,0,45,0,43,1,1,1,TA,2,Sal,Detchd,Fin,1,10,Ex,Ex,MnWw,NA,0,13,8,2019,VWD,Normal,450000000
1044,RH,Pave,Grvl,40,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,5,6,1992,2010,Mansard,Metal,AsphShn,Plywood,Gd,Gd,BrkTil,N,FuseA,40,0,40,0,38,1,1,1,TA,2,Mod,Detchd,Fin,1,10,Ex,Ex,MnWw,NA,0,17,12,2011,VWD,Normal,185000000
1045,RH,Pave,Grvl,44,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,5,7,2021,2021,Mansard,Metal,AsphShn,Plywood,Gd,Gd,BrkTil,N,FuseA,44,0,44,0,40,1,1,1,TA,2,Min1,Detchd,Fin,1,10,Ex,Ex,GdPrv,NA,0,18,7,2021,New,Normal,400000000
1046,RH,Pave,Pave,36,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,5,4,2021,2021,Mansard,Metal,AsphShn,Plywood,Gd,Gd,BrkTil,N,FuseA,36,0,36,0,34,1,1,1,TA,2,Maj1,Attchd,Fin,1,5,Ex,Ex,GdPrv,NA,0,28,12,2021,New,Normal,400000000
1047,RH,Pave,Pave,88,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,8,7,2000,2000,Gable,Metal,AsphShn,Plywood,Gd,Gd,BrkTil,N,FuseA,88,0,88,0,86,1,2,1,TA,3,Maj1,Attchd,Fin,1,15,Ex,Ex,GdPrv,NA,0,9,5,2015,Con,Normal,550000000
1048,C,Pave,NA,72,Reg,Lvl,NoSewr,Gtl,JKT,Feedr,Norm,2,8,9,2020,2020,Gable,Cly,AsphShn,Plywood,Po,Po,BrkTil,N,FuseF,72,72,144,0,140,2,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,15,7,2021,Con,Normal,1500000000
1049,C,Pave,NA,66,Reg,Lvl,NoSewa,Gtl,JKT,Feedr,Norm,2,9,9,2021,2021,Gable,Cly,AsphShn,Plywood,TA,TA,BrkTil,N,FuseF,66,66,132,0,128,2,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,5,11,2021,New,Normal,895000000
1050,C,Pave,NA,99,Reg,Lvl,EOL,Gtl,JKT,Feedr,Norm,2,9,8,2003,2003,Gable,Cly,AsphShn,Plywood,TA,TA,BrkTil,N,FuseF,99,99,198,0,190,2,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,26,7,2008,Con,Normal,700000000
1051,C,Pave,NA,120,Reg,Lvl,EOL,Gtl,JKT,Feedr,Norm,2,5,7,2001,2001,Gable,Cly,AsphShn,Plywood,TA,TA,BrkTil,N,FuseA,120,120,240,0,236,2,0,0,NA,0,Mod,NA,NA,0,0,NA,NA,NA,NA,0,26,11,2009,Con,Normal,850000000
1052,C,Pave,NA,150,Reg,Lvl,EOL,Gtl,JKT,Feedr,Norm,2,5,4,2017,2017,Gable,Cly,AsphShn,Plywood,TA,TA,BrkTil,N,FuseA,150,150,300,0,280,2,0,0,NA,0,Sev,NA,NA,0,0,NA,NA,NA,NA,0,16,10,2019,Con,Normal,1200000000
1053,RL,Pave,Pave,1000,Reg,Lvl,EOL,Gtl,JKT,Norm,Norm,2,3,4,2006,2006,Mansard,Cly,BrkComm,Plywood,TA,TA,BrkTil,N,FuseA,300,300,600,50,580,2,5,2,Gd,7,Sev,Basment,Fin,5,100,Gd,Ex,MnWw,Elev,200000000,1,4,2010,CWD,Normal,4500000000
1054,RL,Pave,Pave,200,Reg,Lvl,EOL,Gtl,JKT,Norm,Norm,2,3,2,1992,1992,Shed,Metal,BrkComm,Plywood,TA,TA,BrkTil,N,SBrkr,100,100,200,50,180,2,3,2,Gd,5,Sal,BuiltIn,Fin,2,40,Gd,Ex,MnWw,NA,0,5,9,2008,COD,Normal,1100000000
1055,RL,Pave,Grvl,300,Reg,Lvl,EOL,Gtl,JKT,Norm,Norm,1,6,4,1993,1993,Shed,Metal,BrkComm,AsphShn,TA,TA,BrkTil,N,SBrkr,150,0,150,0,140,1,2,2,Gd,4,Maj1,BuiltIn,RFn,2,40,Gd,Gd,MnWw,NA,0,7,4,2009,COD,Normal,800000000
1056,RL,Pave,Grvl,400,Reg,Lvl,EOL,Gtl,JKT,Norm,Norm,1,8,6,1995,1995,Shed,Metal,BrkComm,AsphShn,Po,Po,BrkTil,N,SBrkr,200,0,200,0,180,1,3,2,Gd,5,Mod,BuiltIn,RFn,2,40,Gd,Gd,MnWw,NA,0,3,9,2008,COD,Normal,900000000
1057,RL,Grvl,Grvl,500,Reg,Lvl,EOL,Gtl,JKT,Norm,Norm,1,9,8,1996,1996,Flat,Metal,Stone,AsphShn,Gd,Gd,BrkTil,N,SBrkr,200,0,200,0,190,1,3,2,Gd,5,Typ,BuiltIn,RFn,2,40,Gd,Gd,MnWw,NA,0,24,2,2007,COD,Normal,1000000000
1058,RL,Grvl,Grvl,600,Reg,Lvl,NoSewr,Gtl,JKT,Norm,Norm,1,10,8,2013,2013,Flat,Metal,Stone,AsphShn,Gd,Gd,BrkTil,N,SBrkr,400,0,400,0,380,1,3,2,Po,5,Typ,BuiltIn,RFn,3,60,Gd,Gd,GdPrv,Swp,50000000,2,1,2015,CWD,Normal,1200000000
1059,RL,Grvl,Grvl,120,Reg,Lvl,NoSeer,Gtl,JKT,Norm,Norm,1,2,3,2003,2003,Flat,Metal,Stone,AsphShn,Gd,Gd,BrkTil,N,SBrkr,80,0,80,0,78,1,2,1,Po,3,Sal,Attchd,RFn,1,15,Gd,Gd,GdPrv,NA,0,14,5,2007,COD,Normal,500000000
1060,RH,Grvl,Pave,120,Reg,Lvl,EOL,Gtl,JKT,Artery,Norm,1,1,3,2000,2000,Flat,Metal,Stone,AsphShn,Gd,Gd,BrkTil,N,SBrkr,120,0,120,0,110,1,2,1,Po,3,Sal,Attchd,RFn,1,20,Gd,Gd,GdPrv,NA,0,17,10,2005,COD,Normal,600000000
1061,RH,Grvl,Pave,110,Reg,Lvl,EOL,Gtl,JKT,Artery,Norm,2,6,8,2017,2017,Shed,Metal,Stone,AsphShn,Gd,Gd,BrkTil,N,SBrkr,66,66,132,22,108,2,3,1,Po,4,Typ,Attchd,Fin,1,20,Gd,Po,GdPrv,NA,0,8,6,2019,COD,Normal,1000000000
1062,RH,Grvl,Pave,66,Reg,Lvl,AllPub,Gtl,JKT,Artery,Norm,1,7,8,1994,1994,Shed,Cly,BrkComm,AsphShn,Gd,Gd,BrkTil,N,SBrkr,66,0,66,0,60,1,2,1,Po,3,Typ,Attchd,Fin,1,10,Gd,Po,GdPrv,NA,0,1,1,1995,COD,Normal,70000000
1063,RH,Grvl,Pave,72,Reg,Lvl,AllPub,Gtl,JKT,Artery,Norm,1,8,9,2021,2021,Shed,Cly,BrkComm,AsphShn,Gd,Gd,BrkTil,N,FuseA,72,0,72,0,66,1,2,1,Ex,3,Typ,Attchd,Fin,1,10,Gd,Po,GdPrv,NA,0,1,11,2021,COD,Normal,950000000
1064,RH,Grvl,Pave,55,Reg,Lvl,AllPub,Gtl,JKT,Artery,Norm,1,8,8,2021,2021,Mansard,Cly,BrkComm,Plywood,Gd,Gd,BrkTil,N,FuseA,55,0,55,0,50,1,1,1,Ex,2,Typ,Attchd,Fin,1,5,Gd,TA,GdPrv,NA,0,19,12,2021,COD,Normal,600000000
1065,RH,Grvl,Pave,48,Reg,Lvl,AllPub,Gtl,JKT,Artery,Norm,1,9,6,2012,2012,Mansard,Cly,BrkComm,Plywood,Ex,Ex,Stone,N,FuseA,48,0,48,0,46,1,1,1,Ex,2,Mod,Attchd,Fin,1,5,Gd,TA,GdPrv,NA,0,27,7,2016,COD,Normal,400000000
1066,RP,Grvl,Pave,36,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,10,7,2016,2016,Mansard,Cly,BrkComm,Plywood,Ex,Ex,Stone,N,FuseA,36,0,36,0,24,1,1,1,Ex,2,Min1,NA,NA,0,0,NA,NA,GdPrv,NA,0,3,11,2018,COD,Normal,350000000
1067,RM,Grvl,Grvl,12,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,5,5,1991,2008,Mansard,Cly,Stone,Plywood,Ex,Ex,Stone,N,FuseA,12,0,12,0,11,1,0,0,Ex,0,Sev,NA,NA,0,0,NA,NA,GdPrv,NA,0,24,10,2019,COD,Normal,250000000
1068,RM,Grvl,Grvl,25,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,5,4,1993,1993,Mansard,Cly,Stone,Wd,Ex,Ex,Stone,Y,FuseA,25,0,25,0,23,1,0,1,Ex,1,Sev,NA,NA,0,0,NA,NA,GdPrv,NA,0,22,2,2005,COD,Normal,75000000
1069,RM,Pave,Grvl,36,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,2,5,3,2014,2014,Mansard,Cly,Stone,Wd,Ex,Ex,Stone,Y,FuseA,36,36,72,0,70,2,2,1,Ex,3,Sal,Attchd,Fin,1,5,Gd,TA,GdPrv,NA,0,21,9,2016,COD,Normal,200000000
1070,RM,Pave,Pave,66,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,2,6,7,2002,2002,Shed,Cly,Stone,Wd,Ex,Ex,Stone,Y,FuseA,66,66,132,0,128,2,4,1,Ex,5,Min1,BuiltIn,Fin,1,10,Gd,Gd,GdPrv,NA,0,20,4,2005,COD,Normal,200000000
1071,RM,Pave,Pave,120,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,2,6,4,1997,1997,Shed,Cly,AsphShn,Wd,Ex,Ex,Stone,Y,FuseF,120,120,240,0,220,1,4,2,Po,6,Sev,BuiltIn,RFn,1,20,Gd,Gd,GdPrv,NA,0,13,3,2005,COD,Normal,250000000
1072,RM,Pave,Pave,144,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,7,5,2013,2013,Shed,Cly,AsphShn,Wd,Ex,Ex,Stone,Y,FuseF,120,0,120,0,110,1,2,1,Po,3,Mod,Attchd,RFn,1,20,Gd,Gd,GdPrv,NA,0,7,3,2015,COD,Normal,850000000
1073,RM,Pave,Pave,81,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,2,7,3,1992,1992,Shed,Cly,AsphShn,Plywood,Ex,Ex,Stone,Y,FuseF,81,81,162,0,150,3,3,1,Po,4,Sal,Attchd,Fin,1,15,Gd,Gd,GdPrv,NA,0,25,4,2000,COD,Normal,250000000
1074,RM,Pave,Pave,64,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,7,8,2013,2013,Flat,Metal,AsphShn,BrkComm,Ex,Ex,Stone,Y,FuseF,64,0,64,0,60,1,2,1,Po,3,Typ,Attchd,Fin,1,5,Gd,TA,GdPrv,NA,0,17,12,2015,VWD,Normal,400000000
1075,RM,Pave,Pave,88,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,8,9,2017,2017,Flat,Metal,AsphShn,BrkComm,Ex,Ex,Stone,Y,FuseF,88,0,88,0,84,1,2,1,Ex,3,Typ,BuiltIn,Fin,1,15,Gd,Gd,MnWw,NA,0,26,12,2018,VWD,Normal,450000000
1076,RH,Pave,Pave,110,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,1,8,10,1994,1994,Flat,Metal,AsphShn,BrkComm,Ex,Ex,Stone,Y,FuseF,110,0,110,0,105,2,2,1,Ex,3,Typ,CarPort,Fin,1,20,Gd,Gd,MnWw,NA,0,12,11,2005,VWD,Normal,350000000
1077,RH,Pave,Pave,120,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,1,8,9,1992,1992,Flat,Metal,Stone,BrkComm,Ex,Ex,Stone,Y,FuseA,120,0,120,0,110,2,2,1,Ex,3,Typ,CarPort,Fin,1,15,Gd,Gd,MnWw,NA,0,5,10,2000,VWD,Normal,300000000
